frbname,gwname,fix_lnb,relax_lnb,gwstat,ranking
FRB20190612A,190612_003805,5.854761612135917,7.135479004587978,0.9640308618545532,-0.3166865305975079
FRB20190608A,190608_145341,3.1679475838318467,2.4907609624788165,-1.0102570056915283,-0.3330703843384981
FRB20190502C,190502_155437,0.1069879958522506,0.0910244943224825,-0.3742820620536804,-0.3583185605239123
FRB20190421B,190421_232707,3.238506133900956,3.739257598761469,0.077342689037323,-0.4234087758231899
FRB20190420A,190420_011351,0.7957154007162899,0.5454364665783942,-0.6795140504837036,-0.4292351163458079
FRB20190623C,190623_150700,1.754964843392372,3.744216064689681,1.5599637031555176,-0.4292875181417914
FRB20190601B,190601_162949,3.3761410880833864,5.937647072598338,2.115415096282959,-0.4460908882319927
FRB20190520A,190520_102419,-0.2527158476877957,2.887903319206089,2.667131423950196,-0.4734877429436888
FRB20190621D,190621_081529,4.371051428606734,2.201777772512287,-2.663881063461304,-0.4946074073668574
FRB20190518G,190518_224153,-0.557583789806813,-0.1780349847394973,-0.1451019644737243,-0.5246507695410401
FRB20190417B,190417_060139,1.3501717942999676,1.6633477631257847,-0.2192486524581909,-0.532424621284008
FRB20190517C,190517_220705,2.358028575428761,2.5924294595606625,-0.3536991477012634,-0.5881000318331648
FRB20190607A,190607_163745,-0.197423106059432,0.0743626318871975,-0.3244630694389343,-0.5962488073855639
FRB20190625D,190625_212701,3.434398002922535,2.1468388065695763,-1.907872200012207,-0.6203130036592484
FRB20190519D,190519_031003,4.80502338509541,5.624408158473671,0.1939718127250671,-0.6254129606531942
FRB20190527A,190527_162702,3.389990796800703,2.060252202441916,-1.9556039571762085,-0.6258653628174216
FRB20190520A,190520_102510,-0.4108261298388242,0.90562503808178,0.6719680428504944,-0.6444831250701097
FRB20190519G,190519_124920,3.7981660382356495,11.288816494401544,6.840252876281738,-0.6503975798841566
FRB20190601C,190601_211239,0.3094493332318961,1.009976532543078,0.038636028766632,-0.6618911705445499
FRB20190701E,190701_223021,2.800059344619513,2.1530813947319984,-1.3443208932876587,-0.6973429434001441
FRB20190701C,190701_193512,1.154576240107417,1.608832411468029,-0.2742078900337219,-0.7284640613943338
FRB20190601B,190601_163240,5.14939032564871,5.210976501693949,-0.6996804475784302,-0.7612666236236691
FRB20190419A,190419_011703,2.5161691290559247,4.923130713403225,1.5866203308105469,-0.8203412535367534
FRB20190420B,190420_002610,2.770122084999457,3.80407413141802,0.1723772883415222,-0.8615747580770408
FRB20190415B,190415_190342,3.917654784396291,6.015001472551376,1.1795687675476074,-0.9177779206074774
FRB20190409C,190409_114322,0.6430917722173035,0.2035981006920337,-1.3694885969161987,-0.929994925390929
FRB20190411A,190411_003543,5.346894516609609,5.611445908434689,-0.6735803484916687,-0.9381317403167486
FRB20190530A,190530_200801,-0.4296668451279402,2.586889117024839,2.044891595840454,-0.971664366312325
FRB20190623C,190623_150852,3.7029399555176497,4.865084313321859,0.1751443147659301,-0.9870000430382788
FRB20190501B,190501_105355,4.870337096159346,6.066482974449173,0.1923330426216125,-1.0038128356682137
FRB20190417B,190417_060115,4.578174526104704,4.372052431106567,-1.2858747243881226,-1.0797526293899855
FRB20190409C,190409_114502,1.021263080649078,0.8182193087413907,-1.2914340496063232,-1.088390277698636
FRB20190419B,190419_223837,1.653477213345468,2.7225780454464257,-0.0673331618309021,-1.1364339939318595
FRB20190519E,190519_032724,3.3666990003548563,4.669849302968942,0.0735048651695251,-1.2296454374445602
FRB20190403C,190403_114724,-0.8098060307092965,0.2893869481049478,-0.227968156337738,-1.3271611351519823
FRB20190412A,190412_105537,5.60496458853595,6.747971737058833,-0.2473698854446411,-1.3903770339675248
FRB20190531A,190531_051315,0.4929480124264955,4.665659315418452,2.780674934387207,-1.3920363686047494
FRB20190630C,190630_174954,1.2959497049450874,0.9358961284160614,-1.7572903633117676,-1.3972367867827415
FRB20190701D,190701_205511,6.656310288235545,4.778830453753471,-3.3063836097717285,-1.4289037752896547
FRB20190420B,190420_002909,3.231069832807407,8.550379839492962,3.814761161804199,-1.5045488448813558
FRB20190625A,190625_050350,0.3780032207723707,0.8004780330229551,-1.111680507659912,-1.5341553199104965
FRB20190429A,190429_121033,-0.3546335287392139,0.72456043981947,-0.468468964099884,-1.547662932658568
FRB20190630B,190630_112013,0.9367255680263042,1.544979926198721,-0.9608688950538636,-1.5691232532262802
FRB20190403C,190403_114754,1.5445140143856406,0.855594583787024,-2.2689919471740723,-1.5800725165754557
FRB20190419B,190419_223729,1.2759932328481227,6.652074554236606,3.794473648071289,-1.581607673317194
FRB20190616A,190616_055606,7.094146091025323,8.47746009612456,-0.2128647565841674,-1.5961787616834044
FRB20190429B,190429_153233,8.776637664064765,11.530894869472831,1.1433199644088743,-1.6109372409991922
FRB20190422B,190422_043103,-1.9553446092177185,-0.6493817702867091,-0.3406676650047302,-1.6466305039357396
FRB20190420B,190420_002803,0.1241703513078391,0.7293129225727171,-1.0420198440551758,-1.6471624153200537
FRB20190518C,190518_082226,4.357083895942196,7.600273627904244,1.5856012105941772,-1.6575885213678705
FRB20190530A,190530_200610,6.46143929567188,11.069934090599418,2.9073400497436523,-1.701154745183885
